DATE,UTUCSFRCONDOSMSAMID
2000-01-01,164742.10367748
2000-02-01,164832.3631145223
2000-03-01,164974.07022313017
2000-04-01,165329.61581185434
2000-05-01,166618.13045902454
2000-06-01,168038.6421180946
2000-07-01,169462.67664323488
2000-08-01,170049.23642069608
2000-09-01,170562.10199627536
2000-10-01,170995.29939031228
2000-11-01,171532.32644234237
2000-12-01,172047.1166972072
2001-01-01,172526.370887648
2001-02-01,172802.0421080152
2001-03-01,172967.61254578683
2001-04-01,173139.64955521954
2001-05-01,173237.48195284835
2001-06-01,173401.24029741136
2001-07-01,173537.38393887997
2001-08-01,173802.38550199117
2001-09-01,174048.45941632043
2001-10-01,174306.96220613786
2001-11-01,174495.87764693625
2001-12-01,174581.128464013
2002-01-01,174602.19603567745
2002-02-01,174523.077511068
2002-03-01,174572.61069967813
2002-04-01,174697.36648747124
2002-05-01,174806.24847085265
2002-06-01,174902.76429804158
2002-07-01,174996.6575102807
2002-08-01,175023.8718030915
2002-09-01,174902.24462336442
2002-10-01,174556.40154112116
2002-11-01,174316.60866052916
2002-12-01,174085.86021838177
2003-01-01,173922.10829306487
2003-02-01,173878.9996196127
2003-03-01,173825.05830581897
2003-04-01,173951.8423777957
2003-05-01,174110.20610146143
2003-06-01,174423.5938693966
2003-07-01,174660.6044378512
2003-08-01,174807.86467707125
2003-09-01,174901.72714310352
2003-10-01,175008.09023390492
2003-11-01,175182.4464432979
2003-12-01,175375.92223025076
2004-01-01,175559.15782060928
2004-02-01,175841.5734955125
2004-03-01,176164.95254136424
2004-04-01,176551.90791717745
2004-05-01,176763.4194325815
2004-06-01,176981.24260112492
2004-07-01,177185.1283688368
2004-08-01,177408.5595742731
2004-09-01,177577.58168942516
2004-10-01,177687.6427584947
2004-11-01,177737.15110757833
2004-12-01,177713.4809569067
2005-01-01,177670.1718428882
2005-02-01,177866.51786627938
2005-03-01,178238.4129736597
2005-04-01,178847.99810865763
2005-05-01,179411.3664516896
2005-06-01,180053.44970727843
2005-07-01,180803.098023077
2005-08-01,181710.45974800395
2005-09-01,182729.3304246997
2005-10-01,183810.3934680392
2005-11-01,185055.91349537953
2005-12-01,186372.0501234247
2006-01-01,187606.8166169057
2006-02-01,188924.16524199955
2006-03-01,190395.0980389805
2006-04-01,192240.3353668406
2006-05-01,194236.79112194653
2006-06-01,196760.60517061828
2006-07-01,199877.84204453966
2006-08-01,203343.6903896296
2006-09-01,206762.0781163279
2006-10-01,209860.67489636465
2006-11-01,212744.73537770365
2006-12-01,215352.07283056318
2007-01-01,217950.0546086554
2007-02-01,220490.65125455696
2007-03-01,223078.58640402465
2007-04-01,225516.58169293948
2007-05-01,227909.86884527383
2007-06-01,230532.2878174898
2007-07-01,233177.65132564484
2007-08-01,235780.96827841466
2007-09-01,237747.63468105302
2007-10-01,239259.8371978123
2007-11-01,240533.64824227907
2007-12-01,241778.7492144246
2008-01-01,242603.3634541933
2008-02-01,242735.48368199824
2008-03-01,242025.48673946294
2008-04-01,240699.1905910525
2008-05-01,238995.1495389759
2008-06-01,237017.30358111297
2008-07-01,234963.6134888475
2008-08-01,232729.79927149197
2008-09-01,230793.77330684918
2008-10-01,228988.97307862493
2008-11-01,227347.6218675076
2008-12-01,225535.67234086271
2009-01-01,223304.4025657754
2009-02-01,221083.985061329
2009-03-01,218850.26423964303
2009-04-01,217098.75684596229
2009-05-01,215296.81699202102
2009-06-01,213523.44504710485
2009-07-01,211804.33918647395
2009-08-01,210161.44334320005
2009-09-01,208597.2957043847
2009-10-01,207189.2691491094
2009-11-01,206183.14241419625
2009-12-01,205452.65760862737
2010-01-01,204736.40279359164
2010-02-01,204063.05688275048
2010-03-01,203485.3326501874
2010-04-01,203187.1020888952
2010-05-01,202862.53034303713
2010-06-01,202063.9289075406
2010-07-01,200645.96835306447
2010-08-01,198749.36881021646
2010-09-01,197108.1781620433
2010-10-01,195613.13648129452
2010-11-01,194009.44764026193
2010-12-01,192089.39058762183
2011-01-01,190292.61363521055
2011-02-01,188647.13387945745
2011-03-01,187500.75010054916
2011-04-01,186425.33255824595
2011-05-01,185598.29519796488
2011-06-01,184617.2132322249
2011-07-01,183793.4019549042
2011-08-01,183290.81287317266
2011-09-01,182591.18972909517
2011-10-01,181883.08190342676
2011-11-01,181134.61050724765
2011-12-01,180976.0176281746
2012-01-01,180957.97586831087
2012-02-01,181117.00265340428
2012-03-01,181623.941951183
2012-04-01,182589.62052418772
2012-05-01,183918.0906187396
2012-06-01,185344.18573688518
2012-07-01,186715.0910252929
2012-08-01,187982.24165964584
2012-09-01,189339.97819077803
2012-10-01,190728.2124797656
2012-11-01,192406.56271918278
2012-12-01,194147.80927367287
2013-01-01,196076.2895266069
2013-02-01,197779.19326100367
2013-03-01,199450.80374901582
2013-04-01,201239.52892435077
2013-05-01,203383.28526895217
2013-06-01,205671.8562886543
2013-07-01,207829.7220729684
2013-08-01,209806.6170279292
2013-09-01,211573.42146468617
2013-10-01,213229.36169555105
2013-11-01,214524.65202520997
2013-12-01,215441.61623304337
2014-01-01,216181.75954976585
2014-02-01,216790.9323155725
2014-03-01,217608.2458225767
2014-04-01,218312.8870975741
2014-05-01,219198.99159044935
2014-06-01,219783.55395372852
2014-07-01,220378.61957604613
2014-08-01,220928.46367660188
2014-09-01,221555.57248190677
2014-10-01,222004.8726284885
2014-11-01,222501.37710470092
2014-12-01,223181.16011233244
2015-01-01,224314.42316152024
2015-02-01,225598.86698513533
2015-03-01,227041.8915418044
2015-04-01,228520.12878430737
2015-05-01,230085.1103152819
2015-06-01,231769.4683071896
2015-07-01,233664.6951546671
2015-08-01,235869.94417711234
2015-09-01,238116.9671275059
2015-10-01,240279.26765904538
2015-11-01,242209.5984300991
2015-12-01,244192.03921737487
2016-01-01,246323.76030890574
2016-02-01,248294.07746956393
2016-03-01,249848.20013428983
2016-04-01,251360.872283828
2016-05-01,253072.5114157521
2016-06-01,255037.68285437836
2016-07-01,256777.49924806654
2016-08-01,258252.12963490095
2016-09-01,259592.72089017543
2016-10-01,260995.57984007744
2016-11-01,262505.6575753892
2016-12-01,264124.7543796623
2017-01-01,265912.6352651134
2017-02-01,267999.0941359625
2017-03-01,270341.49019298755
2017-04-01,272719.98600885796
2017-05-01,274870.515183589
2017-06-01,276956.7003370343
2017-07-01,278860.95508562203
2017-08-01,280802.104855226
2017-09-01,282713.79468368355
2017-10-01,284598.79057371715
2017-11-01,286529.6923481593
2017-12-01,288624.6654542856
2018-01-01,290949.5663751209
2018-02-01,293384.4313793589
2018-03-01,296007.6894291854
2018-04-01,298299.7462151506
2018-05-01,300467.8772082893
2018-06-01,302342.96177458466
2018-07-01,304931.5907211055
2018-08-01,307482.49433493597
2018-09-01,309933.3270502557
2018-10-01,311793.0111234682
2018-11-01,313630.3223711164
2018-12-01,315270.84471841046
2019-01-01,317352.6980515557
2019-02-01,319785.1188842599
2019-03-01,322500.1164191089
2019-04-01,324632.48661024874
2019-05-01,326005.21980657836
2019-06-01,326888.5061608975
2019-07-01,327736.2768920504
2019-08-01,328841.91712956765
2019-09-01,330270.4456772779
2019-10-01,332096.99956702936
2019-11-01,334421.2745468268
2019-12-01,337168.5486973202
2020-01-01,340068.53602371877
2020-02-01,343167.69308527914
2020-03-01,346451.7500011004
2020-04-01,349531.54889909463
2020-05-01,351373.2095555295
2020-06-01,352381.82399384654
2020-07-01,353602.99463884457
2020-08-01,356478.23463452846
2020-09-01,361338.17737327697
2020-10-01,367591.6651687775
2020-11-01,374734.1822702324
2020-12-01,382001.72214728314
2021-01-01,389292.8782363517
2021-02-01,397252.08890010143
2021-03-01,406083.1855795688
2021-04-01,415983.0624666664
2021-05-01,426977.7630191845
2021-06-01,438111.01682970906
2021-07-01,448280.04017775593
2021-08-01,456160.32777719386
2021-09-01,462033.8460282401
2021-10-01,466847.8206083469
2021-11-01,471532.9198430353
2021-12-01,476690.9178590519
2022-01-01,483985.55441629264
2022-02-01,493564.87054214365
2022-03-01,505331.0379126252
2022-04-01,517013.9972855393
2022-05-01,526558.2268069632
2022-06-01,531994.7947983529
2022-07-01,531493.6575316837
2022-08-01,526271.0143142671
2022-09-01,518651.81862523354
2022-10-01,512136.9673684568
2022-11-01,506865.9835202671
2022-12-01,502653.63800842495
2023-01-01,498922.81153055356
2023-02-01,496061.9694354967
2023-03-01,493988.2755862063
2023-04-01,492751.00671215955
2023-05-01,492467.1775834051
2023-06-01,493505.56208732375
2023-07-01,495138.91311481997
2023-08-01,496882.2649455226
2023-09-01,498020.812631887
2023-10-01,499493.2404219384
2023-11-01,500540.35617879353
2023-12-01,500981.43937118305
