DATE,UTBP1FH
1988-01-01,212
1988-02-01,361
1988-03-01,484
1988-04-01,575
1988-05-01,579
1988-06-01,638
1988-07-01,535
1988-08-01,554
1988-09-01,456
1988-10-01,533
1988-11-01,379
1988-12-01,296
1989-01-01,265
1989-02-01,291
1989-03-01,509
1989-04-01,502
1989-05-01,570
1989-06-01,596
1989-07-01,535
1989-08-01,620
1989-09-01,558
1989-10-01,517
1989-11-01,389
1989-12-01,283
1990-01-01,289
1990-02-01,393
1990-03-01,565
1990-04-01,565
1990-05-01,716
1990-06-01,658
1990-07-01,610
1990-08-01,664
1990-09-01,544
1990-10-01,586
1990-11-01,418
1990-12-01,330
1991-01-01,350
1991-02-01,419
1991-03-01,591
1991-04-01,901
1991-05-01,796
1991-06-01,752
1991-07-01,820
1991-08-01,704
1991-09-01,744
1991-10-01,798
1991-11-01,578
1991-12-01,569
1992-01-01,496
1992-02-01,582
1992-03-01,1019
1992-04-01,1146
1992-05-01,1074
1992-06-01,1403
1992-07-01,1073
1992-08-01,1230
1992-09-01,1208
1992-10-01,1205
1992-11-01,906
1992-12-01,769
1993-01-01,567
1993-02-01,710
1993-03-01,1162
1993-04-01,1365
1993-05-01,1418
1993-06-01,1754
1993-07-01,1438
1993-08-01,1513
1993-09-01,1969
1993-10-01,1520
1993-11-01,1547
1993-12-01,1120
1994-01-01,1127
1994-02-01,924
1994-03-01,1555
1994-04-01,1565
1994-05-01,1495
1994-06-01,1631
1994-07-01,1116
1994-08-01,1443
1994-09-01,1241
1994-10-01,1262
1994-11-01,980
1994-12-01,777
1995-01-01,928
1995-02-01,904
1995-03-01,1096
1995-04-01,1234
1995-05-01,1419
1995-06-01,1465
1995-07-01,1363
1995-08-01,1664
1995-09-01,1450
1995-10-01,1460
1995-11-01,1360
1995-12-01,1087
1996-01-01,998
1996-02-01,926
1996-03-01,1451
1996-04-01,1541
1996-05-01,1588
1996-06-01,1555
1996-07-01,1526
1996-08-01,1554
1996-09-01,1391
1996-10-01,1393
1996-11-01,1055
1996-12-01,924
1997-01-01,841
1997-02-01,1040
1997-03-01,1281
1997-04-01,1458
1997-05-01,1472
1997-06-01,1479
1997-07-01,1248
1997-08-01,1319
1997-09-01,1445
1997-10-01,1398
1997-11-01,1020
1997-12-01,873
1998-01-01,928
1998-02-01,809
1998-03-01,1383
1998-04-01,1516
1998-05-01,1322
1998-06-01,1445
1998-07-01,1315
1998-08-01,1296
1998-09-01,1349
1998-10-01,1279
1998-11-01,1019
1998-12-01,961
1999-01-01,874
1999-02-01,939
1999-03-01,1641
1999-04-01,1370
1999-05-01,1280
1999-06-01,1394
1999-07-01,1315
1999-08-01,1341
1999-09-01,1062
1999-10-01,1209
1999-11-01,1068
1999-12-01,967
2000-01-01,944
2000-02-01,1082
2000-03-01,1312
2000-04-01,1343
2000-05-01,1363
2000-06-01,1286
2000-07-01,1193
2000-08-01,1275
2000-09-01,1077
2000-10-01,1204
2000-11-01,911
2000-12-01,836
2001-01-01,845
2001-02-01,961
2001-03-01,1351
2001-04-01,1208
2001-05-01,1395
2001-06-01,1340
2001-07-01,1300
2001-08-01,1443
2001-09-01,1148
2001-10-01,1172
2001-11-01,902
2001-12-01,909
2002-01-01,971
2002-02-01,868
2002-03-01,1215
2002-04-01,1398
2002-05-01,1531
2002-06-01,1710
2002-07-01,1458
2002-08-01,1555
2002-09-01,1291
2002-10-01,1349
2002-11-01,1117
2002-12-01,1118
2003-01-01,1113
2003-02-01,1223
2003-03-01,1419
2003-04-01,1796
2003-05-01,1576
2003-06-01,1651
2003-07-01,1557
2003-08-01,1688
2003-09-01,1682
2003-10-01,1797
2003-11-01,1264
2003-12-01,1243
2004-01-01,1142
2004-02-01,1156
2004-03-01,1704
2004-04-01,1865
2004-05-01,1792
2004-06-01,1895
2004-07-01,1819
2004-08-01,2268
2004-09-01,1804
2004-10-01,1725
2004-11-01,1657
2004-12-01,1308
2005-01-01,1497
2005-02-01,1476
2005-03-01,2148
2005-04-01,2199
2005-05-01,2336
2005-06-01,2380
2005-07-01,1898
2005-08-01,2444
2005-09-01,2341
2005-10-01,1981
2005-11-01,1862
2005-12-01,1688
2006-01-01,1645
2006-02-01,1453
2006-03-01,2125
2006-04-01,1908
2006-05-01,2162
2006-06-01,2452
2006-07-01,1937
2006-08-01,2131
2006-09-01,1817
2006-10-01,1862
2006-11-01,1612
2006-12-01,1350
2007-01-01,1412
2007-02-01,1411
2007-03-01,1633
2007-04-01,1735
2007-05-01,1884
2007-06-01,1811
2007-07-01,1709
2007-08-01,1717
2007-09-01,1050
2007-10-01,1056
2007-11-01,816
2007-12-01,459
2008-01-01,477
2008-02-01,571
2008-03-01,690
2008-04-01,834
2008-05-01,995
2008-06-01,781
2008-07-01,723
2008-08-01,604
2008-09-01,553
2008-10-01,548
2008-11-01,501
2008-12-01,280
2009-01-01,240
2009-02-01,240
2009-03-01,455
2009-04-01,648
2009-05-01,645
2009-06-01,735
2009-07-01,891
2009-08-01,672
2009-09-01,708
2009-10-01,622
2009-11-01,465
2009-12-01,515
2010-01-01,438
2010-02-01,551
2010-03-01,846
2010-04-01,880
2010-05-01,711
2010-06-01,551
2010-07-01,577
2010-08-01,628
2010-09-01,597
2010-10-01,517
2010-11-01,432
2010-12-01,393
2011-01-01,362
2011-02-01,360
2011-03-01,489
2011-04-01,537
2011-05-01,770
2011-06-01,682
2011-07-01,737
2011-08-01,713
2011-09-01,556
2011-10-01,578
2011-11-01,508
2011-12-01,430
2012-01-01,515
2012-02-01,516
2012-03-01,705
2012-04-01,887
2012-05-01,996
2012-06-01,908
2012-07-01,807
2012-08-01,1020
2012-09-01,832
2012-10-01,942
2012-11-01,823
2012-12-01,541
2013-01-01,568
2013-02-01,734
2013-03-01,972
2013-04-01,1063
2013-05-01,1152
2013-06-01,1168
2013-07-01,1109
2013-08-01,1157
2013-09-01,1025
2013-10-01,1117
2013-11-01,784
2013-12-01,647
2014-01-01,757
2014-02-01,759
2014-03-01,1056
2014-04-01,997
2014-05-01,1093
2014-06-01,1122
2014-07-01,987
2014-08-01,1027
2014-09-01,1031
2014-10-01,1006
2014-11-01,796
2014-12-01,800
2015-01-01,723
2015-02-01,786
2015-03-01,1103
2015-04-01,1160
2015-05-01,1179
2015-06-01,1274
2015-07-01,1345
2015-08-01,1406
2015-09-01,1246
2015-10-01,1102
2015-11-01,1023
2015-12-01,1025
2016-01-01,951
2016-02-01,1119
2016-03-01,1379
2016-04-01,1329
2016-05-01,1422
2016-06-01,1650
2016-07-01,1329
2016-08-01,1495
2016-09-01,1277
2016-10-01,1283
2016-11-01,1340
2016-12-01,1028
2017-01-01,916
2017-02-01,1157
2017-03-01,1671
2017-04-01,1390
2017-05-01,1561
2017-06-01,1913
2017-07-01,1580
2017-08-01,1911
2017-09-01,1419
2017-10-01,1650
2017-11-01,1368
2017-12-01,1119
2018-01-01,1366
2018-02-01,1374
2018-03-01,1548
2018-04-01,1753.0
2018-05-01,1900.0
2018-06-01,1993.0
2018-07-01,1652.0
2018-08-01,1773.0
2018-09-01,1476.0
2018-10-01,1567.0
2018-11-01,1207.0
2018-12-01,1200.0
2019-01-01,1175.0
2019-02-01,1199.0
2019-03-01,1299.0
2019-04-01,1534.0
2019-05-01,1429.0
2019-06-01,1597.0
2019-07-01,1593.0
2019-08-01,1667.0
2019-09-01,1344.0
2019-10-01,1702.0
2019-11-01,1317.0
2019-12-01,1166.0
2020-01-01,1469.0
2020-02-01,1486.0
2020-03-01,1690.0
2020-04-01,1465.0
2020-05-01,1402.0
2020-06-01,1906.0
2020-07-01,1836.0
2020-08-01,2024.0
2020-09-01,2082.0
2020-10-01,2144.0
2020-11-01,1953.0
2020-12-01,1693.0
2021-01-01,2050.0
2021-02-01,1858.0
2021-03-01,2715.0
2021-04-01,2891.0
2021-05-01,2423.0
2021-06-01,2602.0
2021-07-01,1917.0
2021-08-01,2396.0
2021-09-01,2298.0
2021-10-01,1683.0
2021-11-01,1776.0
2021-12-01,1654.0
2022-01-01,1873.0
2022-02-01,1877.0
2022-03-01,2568.0
2022-04-01,2220.0
2022-05-01,1830.0
2022-06-01,1822.0
2022-07-01,1499.0
2022-08-01,1322.0
2022-09-01,1197.0
2022-10-01,977.0
2022-11-01,774.0
2022-12-01,626.0
2023-01-01,799.0
2023-02-01,770.0
2023-03-01,1251.0
2023-04-01,1163.0
2023-05-01,1511.0
2023-06-01,1649.0
2023-07-01,1488.0
2023-08-01,1582.0
2023-09-01,1211.0
2023-10-01,1258.0
2023-11-01,1279.0
2023-12-01,1107.0
